                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1583,                 2.2054,                 1.3456,                   0.82,                0.75853,                0.84509,                0.61449,                0.92273,                 1.0371,                 1.0524,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.0527,                 1.3808,                 1.2591,                0.71791,                0.75674,                0.78779,                0.54091,                 1.0072,                 1.1649,                 1.1442,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.1511,                 1.4866,                 1.3231,                0.59891,                0.61674,                0.61059,                0.34845,                  1.358,                 1.7598,                 1.3593,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.2269,                 1.5685,                 1.3631,                0.75096,                0.69701,                0.78887,                 0.4986,                 1.2234,                 1.1658,                 1.2987,               0.009703,               0.009703,               0.009703
                      5,                 1.1744,                 1.4407,                 1.3333,                0.83514,                0.74536,                0.83977,                0.55223,                 1.1672,                0.96646,                  1.256,               0.009703,               0.009703,               0.009703
                      6,                 1.1303,                 1.3568,                 1.3174,                0.82535,                0.74529,                0.83964,                0.56874,                 1.0696,                0.98621,                 1.1998,               0.009604,               0.009604,               0.009604
                      7,                  1.086,                 1.2624,                 1.2883,                0.86569,                0.77201,                 0.8723,                0.59152,                 1.0493,                0.83116,                 1.2102,               0.009505,               0.009505,               0.009505
                      8,                 1.0584,                 1.1949,                  1.267,                0.88219,                0.84018,                0.91986,                0.66551,                0.94539,                0.74659,                 1.1205,               0.009406,               0.009406,               0.009406
                      9,                 1.0225,                 1.1547,                 1.2507,                0.82224,                0.77137,                0.86579,                0.62512,                0.96379,                0.93427,                 1.1401,               0.009307,               0.009307,               0.009307
                     10,                 1.0027,                   1.11,                 1.2366,                0.91175,                0.82938,                0.91895,                0.67745,                 0.9206,                0.72374,                 1.1059,               0.009208,               0.009208,               0.009208
                     11,                0.98069,                 1.0702,                 1.2239,                0.90851,                0.82371,                0.91364,                 0.6903,                0.86897,                0.66995,                 1.0677,               0.009109,               0.009109,               0.009109
                     12,                0.97108,                 1.0504,                 1.2195,                0.90486,                0.85065,                 0.9324,                0.68663,                0.91925,                0.63588,                 1.1306,                0.00901,                0.00901,                0.00901
                     13,                0.95449,                 1.0262,                 1.2101,                0.88787,                0.88725,                0.94349,                0.72093,                0.84252,                0.58873,                 1.0571,               0.008911,               0.008911,               0.008911
                     14,                0.94192,                0.99504,                 1.2003,                0.91153,                0.87534,                0.93855,                 0.7274,                0.83685,                0.57843,                 1.0527,               0.008812,               0.008812,               0.008812
                     15,                0.92737,                0.97216,                 1.1926,                0.91551,                0.83932,                0.93936,                0.72201,                0.82689,                0.59926,                 1.0555,               0.008713,               0.008713,               0.008713
                     16,                0.91483,                0.96054,                 1.1901,                 0.9428,                0.85569,                0.94669,                0.73805,                0.77822,                0.55008,                 1.0156,               0.008614,               0.008614,               0.008614
                     17,                 0.9032,                0.92799,                  1.177,                0.92056,                0.86625,                 0.9505,                0.74211,                0.78906,                0.56268,                 1.0222,               0.008515,               0.008515,               0.008515
                     18,                0.89276,                0.91365,                  1.174,                0.93083,                0.89071,                0.95165,                0.74283,                0.79986,                0.55101,                 1.0423,               0.008416,               0.008416,               0.008416
                     19,                 0.8792,                0.88553,                 1.1644,                0.91107,                0.89295,                0.95467,                0.75479,                 0.7804,                0.52643,                 1.0247,               0.008317,               0.008317,               0.008317
                     20,                0.87439,                 0.8842,                 1.1613,                0.92106,                0.91439,                0.95964,                0.75359,                0.76023,                0.51092,                 1.0163,               0.008218,               0.008218,               0.008218
                     21,                0.86049,                0.86491,                 1.1592,                0.90668,                0.91363,                0.96192,                0.74934,                0.76757,                0.50457,                  1.013,               0.008119,               0.008119,               0.008119
                     22,                 0.8563,                0.86056,                 1.1511,                0.92539,                0.89814,                0.95854,                0.76908,                0.73975,                0.49465,                 1.0003,                0.00802,                0.00802,                0.00802
                     23,                0.85101,                  0.845,                 1.1489,                0.93786,                0.90864,                0.96852,                0.78622,                 0.7148,                0.47667,                0.98211,               0.007921,               0.007921,               0.007921
                     24,                0.83885,                0.83938,                 1.1456,                0.94765,                0.89612,                0.96709,                0.76919,                0.73041,                0.47545,                0.99481,               0.007822,               0.007822,               0.007822
                     25,                0.83438,                0.82637,                 1.1414,                0.95026,                 0.8797,                0.96306,                0.77957,                0.71939,                  0.489,                 0.9836,               0.007723,               0.007723,               0.007723
                     26,                0.82774,                0.81688,                 1.1364,                0.94571,                 0.8937,                0.96629,                0.78857,                0.69474,                0.45895,                0.96991,               0.007624,               0.007624,               0.007624
                     27,                0.81167,                0.80806,                 1.1289,                0.92806,                0.90666,                0.96544,                 0.7839,                0.70051,                0.47027,                0.98509,               0.007525,               0.007525,               0.007525
                     28,                0.81329,                0.80015,                 1.1317,                 0.9255,                0.92517,                0.96575,                0.79349,                0.69665,                0.44915,                0.97715,               0.007426,               0.007426,               0.007426
                     29,                0.80382,                0.78921,                 1.1233,                0.91028,                0.91624,                0.96276,                0.79134,                0.69427,                0.45785,                0.97352,               0.007327,               0.007327,               0.007327
                     30,                0.79818,                 0.7716,                 1.1199,                0.94151,                0.90401,                0.96477,                0.80908,                0.68342,                0.44614,                0.97329,               0.007228,               0.007228,               0.007228
